,Fiscal Year Period,Fiscal Year,Service,Department,Program,Fund,Category,Expense Category,Account Code,Invoice Description,Vendor,Vendor Number,Zip,Contract Number,PO Number,PO Line,Invoice Number,Invoice Line,Invoice Distribution Line,Amount,Invoice Date,Payment Method,Payment Date,Payment Number,Payment Status
447,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102318A,3.0,1,2105062.0,10/23/18,WIRE,11/2/18,1101857,RECONCILED
448,5,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112818A,2.0,1,6900715.0,11/28/18,WIRE,12/3/18,1101928,RECONCILED
449,5,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112818A,5.0,1,1955704.0,11/28/18,WIRE,12/3/18,1101928,RECONCILED
450,11,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,41918,4.0,1,1055000.0,4/20/18,WIRE,5/2/18,1101370,RECONCILED
451,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,15274-7046,,,,100518,1.0,1,9513.19,10/5/18,WIRE,10/16/18,1101812,RECONCILED
452,1,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072717A,1.0,1,539829.82,7/27/17,WIRE,8/1/17,1007172,RECONCILED
453,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,62218,9.0,1,387500.0,6/22/18,WIRE,6/26/18,1101515,RECONCILED
454,6,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,6157690,1.0,1,163608.3,12/5/17,EFT,12/27/17,502161,RECONCILED
455,5,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112818A,1.0,1,9276773.0,11/28/18,WIRE,12/3/18,1101928,RECONCILED
456,6,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,122217,11.0,1,438750.0,12/22/17,WIRE,12/27/17,1101040,RECONCILED
457,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,194559,1.0,1,1020366.3,9/17/18,EFT,10/9/18,534102,RECONCILED
458,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,62218,11.0,1,452500.0,6/22/18,WIRE,6/26/18,1101515,RECONCILED
459,5,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112717A,1.0,1,1955704.15,11/27/17,WIRE,12/3/17,1100970,RECONCILED
460,5,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112818A,3.0,1,536400.0,11/28/18,WIRE,12/3/18,1101928,RECONCILED
461,11,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,41918,6.0,1,160000.0,4/20/18,WIRE,5/2/18,1101370,RECONCILED
462,7,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141527S20200129,1.0,1,1604123.48,1/10/20,WIRE,1/29/20,1102710,RECONCILED
463,5,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112717A,1.0,1,1449690.75,11/27/17,WIRE,12/3/17,1100970,RECONCILED
464,4,2018,Housing and Community Development,Permitting Services,Administration,Permitting,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,100517A,1.0,1,9575.64,10/5/17,EFT,10/27/17,495979,RECONCILED
465,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,75470,1.0,1,45188.85,6/5/18,EFT,6/27/18,523711,RECONCILED
466,10,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,15274-7046,,,,40518,1.0,1,1488320.0,4/5/18,WIRE,4/17/18,1101335,RECONCILED
467,10,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,938604,1.0,1,860000.0,3/5/18,WIRE,4/17/18,1101334,RECONCILED
468,4,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,102417,1.0,1,1495000.0,10/24/17,WIRE,11/2/17,1100899,RECONCILED
469,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,121318,3.0,1,452500.0,12/13/18,WIRE,12/26/18,1101975,RECONCILED
470,11,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052920A,1.0,1,152804.65,5/29/20,WIRE,6/2/20,1102953,RECONCILED
471,7,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R74472,1.0,1,214230.55,12/20/14,WIRE,1/5/15,1004553,RECONCILED
472,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R92505,1.0,1,73492.43,12/20/19,WIRE,1/2/20,1102659,RECONCILED
473,4,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102517,1.0,1,7569899.0,10/25/17,WIRE,11/2/17,1100902,RECONCILED
474,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,194557,1.0,1,82411.51,9/17/18,EFT,10/9/18,534102,RECONCILED
475,1,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,61617,1.0,1,2194821.0,6/16/17,WIRE,7/5/17,1007089,RECONCILED
476,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052118A,5.0,1,345200.0,5/31/18,WIRE,6/4/18,1101449,RECONCILED
477,4,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102517,1.0,1,2050419.0,10/25/17,WIRE,11/2/17,1100902,RECONCILED
478,1,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,61617,1.0,1,13006794.0,6/16/17,WIRE,7/5/17,1007089,RECONCILED
479,10,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,031020A,1.0,1,1290000.0,3/30/20,WIRE,5/1/20,1102896,RECONCILED
480,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102318A,4.0,1,41664270.0,10/23/18,WIRE,11/2/18,1101857,RECONCILED
481,1,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072717A,1.0,1,1133333.33,7/27/17,WIRE,8/1/17,1007172,RECONCILED
482,11,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052920A,2.0,1,2083900.0,5/29/20,WIRE,6/2/20,1102953,RECONCILED
483,9,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135456S20180330,1.0,1,988866.47,3/29/18,WIRE,3/30/18,1101288,RECONCILED
484,1,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072717A,1.0,1,7275000.0,7/27/17,WIRE,8/1/17,1007172,RECONCILED
485,1,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141527S20170729,1.0,1,1540067.9,6/29/17,WIRE,7/28/17,1007166,RECONCILED
486,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,121318,1.0,1,387500.0,12/13/18,WIRE,12/26/18,1101975,RECONCILED
487,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,75471,1.0,1,638585.85,6/5/18,EFT,6/27/18,523710,RECONCILED
488,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102318A,2.0,1,16700711.0,10/23/18,WIRE,11/2/18,1101857,RECONCILED
489,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052118A,6.0,1,181230.0,5/31/18,WIRE,6/4/18,1101449,RECONCILED
490,6,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R28942,2.0,1,61107.46,12/20/15,WIRE,12/31/15,1005606,RECONCILED
491,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102318A,6.0,1,1956594.0,10/23/18,WIRE,11/2/18,1101857,RECONCILED
492,7,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141526S20180129,1.0,1,96787.88,1/8/18,WIRE,1/29/18,1101133,RECONCILED
493,12,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052118A,3.0,1,86300.0,5/31/18,WIRE,6/4/18,1101449,RECONCILED
494,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R35787,1.0,1,71981.99,6/20/18,WIRE,7/2/18,1101528,RECONCILED
495,6,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,6157692,1.0,1,298392.53,12/5/17,EFT,12/27/17,502160,RECONCILED
496,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,837436,1.0,1,16604.9,6/5/20,EFT,6/26/20,604322,RECONCILED
497,5,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112818A,4.0,1,9544097.0,11/28/18,WIRE,12/3/18,1101928,RECONCILED
498,4,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102318A,5.0,1,7787625.0,10/23/18,WIRE,11/2/18,1101857,RECONCILED
499,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R51109,1.0,1,102108.0,6/20/15,WIRE,7/2/15,1005123,RECONCILED
500,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,837352,1.0,1,662556.51,6/5/20,EFT,6/25/20,604034,RECONCILED
501,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,275945,1.0,1,290049.26,12/3/18,EFT,12/27/18,542963,RECONCILED
502,11,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052920A,3.0,1,80150.0,5/29/20,WIRE,6/2/20,1102953,RECONCILED
503,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,5.0,1,168806.5,12/28/18,WIRE,1/3/19,1101986,RECONCILED
504,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,286732,1.0,1,303255.09,12/6/18,EFT,12/27/18,542918,RECONCILED
505,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,286625,1.0,1,644495.96,12/6/18,EFT,12/27/18,542922,RECONCILED
506,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,1.0,1,545389.94,12/28/18,WIRE,1/3/19,1101986,RECONCILED
507,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,286620,3.0,1,961241.24,12/6/18,EFT,12/27/18,542925,RECONCILED
508,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,286622,1.0,1,166467.46,12/6/18,EFT,12/27/18,542924,RECONCILED
509,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,3.0,1,147806.13,12/28/18,WIRE,1/3/19,1101986,RECONCILED
510,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,6.0,1,66471.75,12/28/18,WIRE,1/3/19,1101986,RECONCILED
511,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,286737,1.0,1,16173.18,12/6/18,EFT,12/27/18,542914,RECONCILED
512,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,2.0,1,986046.75,12/28/18,WIRE,1/3/19,1101986,RECONCILED
513,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,4.0,1,1778387.13,12/28/18,WIRE,1/3/19,1101986,RECONCILED
514,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,7.0,1,61676.5,12/28/18,WIRE,1/3/19,1101986,RECONCILED
515,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,286624,1.0,1,45587.42,12/6/18,EFT,12/27/18,542923,RECONCILED
516,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121118,8.0,1,135915.3,12/28/18,WIRE,1/3/19,1101986,RECONCILED
517,7,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141526S20190129,1.0,1,99064.11,1/15/19,WIRE,1/29/19,1102037,RECONCILED
518,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,824638,1.0,1,300839.7,5/29/20,EFT,6/24/20,604005,RECONCILED
519,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,32119,1.0,1,387500.0,3/21/19,WIRE,3/26/19,1102125,RECONCILED
520,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,385516,1.0,1,1033906.56,3/18/19,EFT,4/9/19,554014,RECONCILED
521,7,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,321350,1.0,1,855485.73,1/7/19,EFT,1/29/19,546144,RECONCILED
522,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,385518,1.0,1,575776.37,3/18/19,EFT,4/9/19,554035,RECONCILED
523,7,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141527S20190129,1.0,1,1578187.6,1/9/19,WIRE,1/29/19,1102036,RECONCILED
524,6,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R88177,1.0,1,64767.42,12/20/16,WIRE,12/30/16,1006608,RECONCILED
525,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,32119,3.0,1,452500.0,3/21/19,WIRE,3/26/19,1102125,RECONCILED
526,8,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R84081,1.0,1,62108.12,2/23/18,EFT,2/27/18,509418,RECONCILED
527,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,385514,1.0,1,83494.81,3/18/19,EFT,4/9/19,554015,RECONCILED
528,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R70623,1.0,1,63175.74,5/20/20,EFT,6/26/20,604321,RECONCILED
529,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,383547,1.0,1,106443.91,3/12/19,EFT,4/9/19,554016,RECONCILED
530,8,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R25945,1.0,1,67212.96,2/20/20,EFT,2/27/20,590145,RECONCILED
531,9,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,385517,1.0,1,621339.5,3/18/19,EFT,4/9/19,554036,RECONCILED
532,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,15274-7046,,,,60120,1.0,1,355794.0,5/21/20,WIRE,6/10/20,1102976,RECONCILED
533,11,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052920A,6.0,1,168315.0,5/29/20,WIRE,6/2/20,1102953,RECONCILED
534,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30084,,,,R20803,1.0,1,33119.98,12/20/13,EFT,12/30/13,369657,RECONCILED
535,6,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R20379,1.0,1,72497.38,12/20/18,WIRE,1/3/19,1101982,RECONCILED
536,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R68187,1.0,1,62108.11,8/20/18,EFT,8/30/18,530359,RECONCILED
537,10,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,31119,8.0,1,1470000.0,3/11/19,WIRE,5/2/19,1102202,RECONCILED
538,11,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052919A,1.0,1,77250.0,5/29/19,WIRE,6/4/19,1102255,RECONCILED
539,11,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052919A,1.0,1,162225.0,5/29/19,WIRE,6/4/19,1102255,RECONCILED
540,1,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R08864,1.0,1,141670.32,7/1/19,WIRE,7/8/19,1102324,RECONCILED
541,2,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R38163,1.0,1,62979.47,8/20/19,EFT,8/29/19,570347,RECONCILED
542,12,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,473664,1.0,1,167915.73,6/5/19,EFT,6/26/19,563626,RECONCILED
543,11,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052920A,5.0,1,320600.0,5/29/20,WIRE,6/2/20,1102953,RECONCILED
544,8,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R29199,1.0,1,100663.0,2/20/20,EFT,3/24/20,593204,RECONCILED
545,12,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,461744,3.0,1,293602.37,5/31/19,EFT,6/26/19,563629,RECONCILED
546,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R08358,1.0,1,64306.99,6/20/16,WIRE,7/6/16,1006110,RECONCILED
547,11,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052919A,1.0,1,2008500.0,5/29/19,WIRE,6/4/19,1102255,RECONCILED
